"FIPS","state","county","votech","prod_bush","GDP2015","medinc1317","perc_HS_GED","totpop1317","urb2010","perclatino1317","trumpmarg"
40095,"OK","marshall county",-1.45447127836467,0,562575,45671,0.350031364817636,16226,0,0.168433378528288,0.566247494076909
40097,"OK","mayes county",-8.33810428213546,56128,1556862,45302,0.387783834518609,40929,0,0.0333260035671529,0.517247963340122
40087,"OK","mcclain county",-6.79867702792852,32843,896511,62081,0.334875189409044,37919,0.00886802295253,0.077507318230966,0.609181067759368
40089,"OK","mccurtain county",-1.74317369957754,93802,921046,34250,0.42035702813088,33026,0,0.0568642887422031,0.638995237650574
40091,"OK","mcintosh county",-8.33493855279485,4063,295166,38163,0.423298012327724,19874,0,0.0260138874911945,0.424604171902488
40099,"OK","murray county",-4.04022560429563,0,523373,51844,0.386420787929589,13797,0,0.0599405667898819,0.558733031674208
40101,"OK","muskogee county",-9.68136410921532,239744,3084245,41329,0.363531861362946,69471,0,0.0586719638410272,0.291819947918819
40103,"OK","noble county",-3.70764352297315,43384,619872,52372,0.357463740213066,11421,0,0.0348480868575431,0.576180698151951
40105,"OK","nowata county",-4.37581522226481,59208,150382,41282,0.447189451769604,10448,0,0.0287136294027565,0.608685390606561
40107,"OK","okfuskee county",-7.44704284056136,0,196069,38346,0.381379561158928,12160,0,0.0385690789473684,0.469870327993898
40109,"OK","oklahoma county",-11.2335247903753,30255,54586471,50762,0.253380998015739,774203,0.931813596091468,0.168030865289853,0.10514274018764
40111,"OK","okmulgee county",-8.17450334556413,15185,795294,39567,0.354612945634522,39121,0,0.0381125226860254,0.326558460212583
40113,"OK","osage county",-3.43070843437602,49578,671183,47683,0.393647037407846,47350,0.126558813616448,0.0341288278775079,0.36775419702249
40115,"OK","ottawa county",-7.42251820957164,241312,825330,38472,0.36641295389538,31725,0,0.0540898345153664,0.471925884334643
40117,"OK","pawnee county",-4.52619217104293,39726,292431,46460,0.439512542252268,16448,0,0.0284533073929961,0.53183107469272
40119,"OK","payne county",-7.28575740643254,10291,3245594,39149,0.268469383046468,80634,0,0.0458739489545353,0.283217413240117
40121,"OK","pittsburg county",-5.44957374114521,15762,1626370,44941,0.37108080550599,44673,0,0.0475454972802364,0.523826086956522
40123,"OK","pontotoc county",-6.02692331265656,0,1770531,46689,0.335353045726289,38289,0,0.0507717621248923,0.458147698123397
40125,"OK","pottawatomie county",-12.2636724374075,24011,1834967,46159,0.355248325002659,71614,0,0.0492501466193761,0.465082425148523
40127,"OK","pushmataha county",-5.0997234590815,0,247018,35414,0.386250795671547,11132,0,0.0346748113546533,0.631942895382556
40129,"OK","roger mills county",-0.791841791248971,0,181640,51286,0.36657131181038,3734,0,0.0682913765399036,0.793515358361775
40131,"OK","rogers county",-8.2866962371698,33870,3336905,61320,0.334794712363933,90098,0.205672861170243,0.0441741215121312,0.563207131312142
40133,"OK","seminole county",-8.27884115806569,0,670406,37741,0.351933668220057,25246,0,0.0478095539887507,0.441359561752988
40135,"OK","sequoyah county",-5.65933250739392,237448,658435,37455,0.382861996956075,41364,0.00301950885801231,0.0391886664732618,0.542148645840549
