dyad,state1no,state1ab,state2no,state2ab,year,conttype,version
2070,2,"USA",70,"MEX",1871,1,3.1
2070,2,"USA",70,"MEX",1872,1,3.1
2070,2,"USA",70,"MEX",1873,1,3.1
2070,2,"USA",70,"MEX",1874,1,3.1
2070,2,"USA",70,"MEX",1875,1,3.1
2070,2,"USA",70,"MEX",1876,1,3.1
2070,2,"USA",70,"MEX",1877,1,3.1
2070,2,"USA",70,"MEX",1878,1,3.1
2070,2,"USA",70,"MEX",1879,1,3.1
2070,2,"USA",70,"MEX",1880,1,3.1
2070,2,"USA",70,"MEX",1881,1,3.1
2070,2,"USA",70,"MEX",1882,1,3.1
2070,2,"USA",70,"MEX",1883,1,3.1
2070,2,"USA",70,"MEX",1884,1,3.1
2070,2,"USA",70,"MEX",1885,1,3.1
2070,2,"USA",70,"MEX",1886,1,3.1
2070,2,"USA",70,"MEX",1887,1,3.1
2070,2,"USA",70,"MEX",1888,1,3.1
2070,2,"USA",70,"MEX",1889,1,3.1
2070,2,"USA",70,"MEX",1890,1,3.1
2070,2,"USA",70,"MEX",1891,1,3.1
2070,2,"USA",70,"MEX",1892,1,3.1
2070,2,"USA",70,"MEX",1893,1,3.1
2070,2,"USA",70,"MEX",1894,1,3.1
2070,2,"USA",70,"MEX",1895,1,3.1
2070,2,"USA",70,"MEX",1896,1,3.1
2070,2,"USA",70,"MEX",1897,1,3.1
2070,2,"USA",70,"MEX",1898,1,3.1
2070,2,"USA",70,"MEX",1899,1,3.1
2070,2,"USA",70,"MEX",1900,1,3.1
2070,2,"USA",70,"MEX",1901,1,3.1
2070,2,"USA",70,"MEX",1902,1,3.1
2070,2,"USA",70,"MEX",1903,1,3.1
2070,2,"USA",70,"MEX",1904,1,3.1
2070,2,"USA",70,"MEX",1905,1,3.1
2070,2,"USA",70,"MEX",1906,1,3.1
2070,2,"USA",70,"MEX",1907,1,3.1
2070,2,"USA",70,"MEX",1908,1,3.1
2070,2,"USA",70,"MEX",1909,1,3.1
2070,2,"USA",70,"MEX",1910,1,3.1
2070,2,"USA",70,"MEX",1911,1,3.1
2070,2,"USA",70,"MEX",1912,1,3.1
2070,2,"USA",70,"MEX",1913,1,3.1
2070,2,"USA",70,"MEX",1914,1,3.1
2070,2,"USA",70,"MEX",1915,1,3.1
2070,2,"USA",70,"MEX",1916,1,3.1
2070,2,"USA",70,"MEX",1917,1,3.1
2070,2,"USA",70,"MEX",1918,1,3.1
2070,2,"USA",70,"MEX",1919,1,3.1
2070,2,"USA",70,"MEX",1920,1,3.1
2070,2,"USA",70,"MEX",1921,1,3.1
2070,2,"USA",70,"MEX",1922,1,3.1
2070,2,"USA",70,"MEX",1923,1,3.1
2070,2,"USA",70,"MEX",1924,1,3.1
2070,2,"USA",70,"MEX",1925,1,3.1
2070,2,"USA",70,"MEX",1926,1,3.1
2070,2,"USA",70,"MEX",1927,1,3.1
2070,2,"USA",70,"MEX",1928,1,3.1
2070,2,"USA",70,"MEX",1929,1,3.1
2070,2,"USA",70,"MEX",1930,1,3.1
2070,2,"USA",70,"MEX",1931,1,3.1
2070,2,"USA",70,"MEX",1932,1,3.1
2070,2,"USA",70,"MEX",1933,1,3.1
2070,2,"USA",70,"MEX",1934,1,3.1
2070,2,"USA",70,"MEX",1935,1,3.1
2070,2,"USA",70,"MEX",1936,1,3.1
2070,2,"USA",70,"MEX",1937,1,3.1
2070,2,"USA",70,"MEX",1938,1,3.1
2070,2,"USA",70,"MEX",1939,1,3.1
2070,2,"USA",70,"MEX",1940,1,3.1
2070,2,"USA",70,"MEX",1941,1,3.1
2070,2,"USA",70,"MEX",1942,1,3.1
2070,2,"USA",70,"MEX",1943,1,3.1
2070,2,"USA",70,"MEX",1944,1,3.1
2070,2,"USA",70,"MEX",1945,1,3.1
2070,2,"USA",70,"MEX",1946,1,3.1
2070,2,"USA",70,"MEX",1947,1,3.1
2070,2,"USA",70,"MEX",1948,1,3.1
2070,2,"USA",70,"MEX",1949,1,3.1
2070,2,"USA",70,"MEX",1950,1,3.1
2070,2,"USA",70,"MEX",1951,1,3.1
2070,2,"USA",70,"MEX",1952,1,3.1
2070,2,"USA",70,"MEX",1953,1,3.1
2070,2,"USA",70,"MEX",1954,1,3.1
2070,2,"USA",70,"MEX",1955,1,3.1
2070,2,"USA",70,"MEX",1956,1,3.1
2070,2,"USA",70,"MEX",1957,1,3.1
2070,2,"USA",70,"MEX",1958,1,3.1
2070,2,"USA",70,"MEX",1959,1,3.1
2070,2,"USA",70,"MEX",1960,1,3.1
2070,2,"USA",70,"MEX",1961,1,3.1
2070,2,"USA",70,"MEX",1962,1,3.1
2070,2,"USA",70,"MEX",1963,1,3.1
2070,2,"USA",70,"MEX",1964,1,3.1
2070,2,"USA",70,"MEX",1965,1,3.1
2070,2,"USA",70,"MEX",1966,1,3.1
2070,2,"USA",70,"MEX",1967,1,3.1
2070,2,"USA",70,"MEX",1968,1,3.1
2070,2,"USA",70,"MEX",1969,1,3.1
