"ccode1","ccode2","edge","defense","mil_ratio","tot_trade","joint_dem","year"
2,92,19,1,0.98802876,114.6,0,1965
2,92,19,1,0.98801255,119.5,0,1966
2,92,19,1,0.9879967,126.8,0,1967
2,92,19,1,0.9884755,108.8,0,1968
2,92,19,1,0.98800927,103.93,0,1969
2,92,19,1,0.98875576,114.32,0,1970
2,92,19,1,0.98613584,125.09,0,1971
2,92,19,1,0.98537976,128.3,0,1972
2,92,19,1,0.97910076,235.03,0,1973
2,92,19,1,0.98069173,344.75,0,1974
2,92,19,1,0.981471,379.32001,0,1975
2,92,19,1,0.97915095,503.09,0,1976
2,92,19,1,0.9773916,739.53998,0,1977
2,92,19,1,0.97417557,618.91003,0,1978
2,92,19,1,0.97217357,753.48999,0,1979
2,92,19,1,0.97306293,638.20001,0,1980
2,92,19,1,0.96359372,519.92999,0,1981
2,92,19,1,0.96097487,566.16003,0,1982
2,92,19,1,0.95937407,651.27002,0,1983
2,92,19,1,0.95228767,731.42004,0,1984
2,92,19,1,0.94516242,739.04004,0,1985
2,92,19,1,0.96161026,768.53003,0,1986
2,92,19,1,0.95281327,667.09998,0,1987
2,92,19,1,0.94814199,681.07996,0,1988
2,92,19,1,0.96635634,721.34998,0,1989
2,92,19,1,0.96645713,796.25,0,1990
2,92,19,1,0.97083151,884.29004,0,1991
2,92,19,1,0.96739948,1096.5901,0,1992
2,92,19,1,0.98189056,1368.3,0,1993
2,92,19,1,0.9750582,1886.4399,0,1994
2,92,19,1,0.97183293,2004.4301,0,1995
2,92,19,1,0.96850699,2174.8701,0,1996
2,92,19,1,0.96334326,2609.98,0,1997
2,92,19,1,0.96247506,2676.6899,0,1998
2,92,19,1,0.96138591,2810.6399,0,1999
